zdroj,ID,titul_verbatim,normed,gpt_ais,obal,formát,typ materiálu,zvuk / sound (on box),zvukař_cleaned,díl,ozvučen dne,středisko,úsek,aparatura,materiál,číslo krabice,obsah_verbatim,recording_technical_cs,recording_secondary_cs,recording_tertiary_cs,recording_content_cs,recording_has_multiple_content,recording_language
NFA,p-101358,1000 + 1 noc,Tisíc a jedna noc,Tisíc a jedna noc,paper box,35 mm,ORWO 207 LN,ing. Kacian,Jan Kacian,2,10.12.1991,-,-,-,-,-,mix,mix,,,,no,
MWA,P200011,1000 + 1 NOC IX,Tisíc a jedna noc,Tisíc a jedna noc,metal can,35 mm,-,-,,1;2,-,-,-,-,-,-,přepis mix,mix,přepis,,,no,
MWA,P200010,1000 + 1 NOC VIII ODMĚNA,Tisíc a jedna noc,Tisíc a jedna noc,metal can,35 mm,-,-,,,-,-,-,-,-,-,přepis mix,mix,přepis,,,no,
NFA,p-101318,1000 + 1 noc xiii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - ORWO (35 mm),-,,1,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-100812,1000 a 1 noc,Tisíc a jedna noc,Tisíc a jedna noc,paper box,35 mm,ORWO 207 LN,Kacian,Jan Kacian,1,10.12.1991,-,-,-,-,-,mix,mix,,,,no,
NFA,p-100962,1000 a 1 noc ii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,19.2.92,59,1701,-,-,-,mix,mix,,,,no,
NFA,p-100985,1000 a 1 noc ii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,19.2.92,59,1701,-,-,-,mix,mix,,,,no,
NFA,p-101474,1000 a 1 noc iii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,19.2.92,59,1701,-,-,-,mix,mix,,,,no,
NFA,p-101210,1000 a 1 noc iii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,19.2.1991,59,1701,-,-,-,mix,mix,,,,no,
NFA,p-101047,1000 a 1 noc iii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-100986,1000 a 1 noc iv,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,6.5.92,59,1702,-,-,-,mix,mix,,,,no,
NFA,p-101280,1000 a 1 noc iv,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,6.5.1992,59,1702,-,-,-,mix,mix,,,,no,
NFA,p-100601,1000 a 1 noc ix,Tisíc a jedna noc,Tisíc a jedna noc,paper box,35 mm,ORWO 207 LN,ing. Kacian,Jan Kacian,2,10.12.1992,59,-,-,-,-,mix orig,mix,originál,,,no,
NFA,p-100034,1000 a 1 noc ix,Tisíc a jedna noc,Tisíc a jedna noc,paper box,35 mm,ORWO 207 LN,ing. Kacian,Jan Kacian,1,10.12.1992,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101042,1000 a 1 noc ix,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-100913,1000 a 1 noc v,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,6.5.92,59,1702,-,-,-,mix,mix,,,,no,
NFA,p-101046,1000 a 1 noc v,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101207,1000 a 1 noc v,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,6.5.1992,59,1702,-,-,-,mix,mix,,,,no,
NFA,p-100919,1000 a 1 noc vi,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,30.6.92,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101208,1000 a 1 noc vi,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,30.6.1992,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101041,1000 a 1 noc vi,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101073,1000 a 1 noc vii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,30.6.92,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101045,1000 a 1 noc vii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101205,1000 a 1 noc vii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,30.6.1992,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101043,1000 a 1 noc viii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101206,1000 a 1 noc viii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,24.8.1992,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101470,1000 a 1 noc viii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,24.8.92,59,-,-,-,-,mix,mix,,,,no,
NFA,p-100053,1000 a 1 noc x,Tisíc a jedna noc,Tisíc a jedna noc,paper box,35 mm,ORWO 207 LN,Kacian,Jan Kacian,1,15.1.93,59,-,-,-,-,mix,mix,,,,no,
NFA,p-100964,1000 a 1 noc x,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,15.1.93,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101068,1000 a 1 noc xi,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,19.2.93,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101203,1000 a 1 noc xi,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,19.2.1993,59,-,-,-,-,mix,mix,,,,no,
NFA,p-101044,1000 a 1 noc xii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Kodak (35 mm),-,,1; 2,-,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101075,1000 a 1 noc xii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,8.4.93,-,-,-,-,-,mix,mix,,,,no,
NFA,p-101074,1000 a 1 noc xii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,8.4.93,-,-,-,-,-,mix,mix,,,,no,
NFA,p-101281,1000 a 1 noc xiii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,2,23.4.1993,-,-,-,-,-,mix,mix,,,,no,
NFA,p-101204,1000 a 1 noc xiii,Tisíc a jedna noc,Tisíc a jedna noc,metal box,35 mm,MB - Pyral (35 mm),Ing. Kacian,Jan Kacian,1,23.4.1993,-,-,-,-,-,mix,mix,,,,no,
